FranchiseOwner,Region,StoreCount,Email,FBC
Adelphi Holdings,Northeast,4,adelphi@jmfranchise.com,Rachel Kim
Boardwalk Restaurants,Northeast,6,boardwalk@jmfranchise.com,James Okafor
Cedar Hill Group,Northeast,5,cedarhill@jmfranchise.com,Sarah Kowalski
Driftwood Foods,Northeast,3,driftwood@jmfranchise.com,Kevin Marsh
Evergreen Capital,Northeast,7,evergreen@jmfranchise.com,Marcus Webb
Fairmount Brands,Mid-Atlantic,5,fairmount@jmfranchise.com,Denise Patel
Garden State Subs,Mid-Atlantic,4,gardenstate@jmfranchise.com,Denise Patel
Harbor Restaurants,Mid-Atlantic,6,harbor@jmfranchise.com,Greg Navarro
Ironbound Group,Mid-Atlantic,3,ironbound@jmfranchise.com,Kevin Marsh
Jasper Quick-Serve,Mid-Atlantic,5,jasper@jmfranchise.com,James Okafor
Keystone Operations,Southeast,6,keystone@jmfranchise.com,Tom Nguyen
Lakeside Foods,Southeast,4,lakeside@jmfranchise.com,Kevin Marsh
Meridian Restaurants,Southeast,7,meridian@jmfranchise.com,Amber Fisk
Northstar Brands,Southeast,5,northstar@jmfranchise.com,Tina Farrow
Oakridge Holdings,Southeast,3,oakridge@jmfranchise.com,Nina Castillo
Pinewood Capital,Midwest,5,pinewood@jmfranchise.com,Megan Thornton
Quail Run Foods,Midwest,4,quailrun@jmfranchise.com,Mike Deluca
Ridgefield Restaurants,Midwest,6,ridgefield@jmfranchise.com,Sarah Kowalski
Summit Operators,Midwest,3,summit@jmfranchise.com,Tina Farrow
Trailhead Brands,Midwest,5,trailhead@jmfranchise.com,Chris Huang
Urban Edge Group,West,6,urbanedge@jmfranchise.com,Denise Patel
Valley Forge Foods,West,4,valleyforge@jmfranchise.com,Jason Tran
Westport Holdings,West,5,westport@jmfranchise.com,Brian Wolfe
Yorktown Subs,West,3,yorktown@jmfranchise.com,Sarah Kowalski
Zenith Restaurants,West,7,zenith@jmfranchise.com,Amber Fisk
Brett Lewis,West,5,b,Ryan Brusseau / Kristin Luehring
